,made,3pointer,2pointer,angle,dist,dstats,buzzerbeater
0,1,0,1,0.9505468408120779,1.5484185480676762,113.4,0
1,1,0,1,0.5716106292395619,13.19809077101684,113.4,0
2,0,1,0,1.5547592094120781,24.9432074922212,113.4,0
3,0,0,1,0.8550527371260191,0.6095900261651266,113.4,0
4,1,0,1,1.0390722595360904,1.5778466338652815,113.4,0
5,0,0,1,0.12786991855999963,2.823047998175023,113.4,0
6,0,0,1,1.207590276258383,12.666317539048194,113.4,0
7,0,0,1,0.07505872603438464,12.5352941728545,113.4,0
8,1,0,1,0.0,1.2600000000000051,113.4,0
9,0,0,1,1.36771479608368,15.866051808814944,113.4,0
10,1,0,1,1.0121970114513335,1.132077735846794,113.4,0
11,0,0,1,0.6898000447336077,14.519559221959874,113.4,0
12,1,0,1,1.392003271991975,1.6868906307167673,113.4,0
13,1,0,1,0.7597627548757737,1.1034491379307019,113.4,0
14,1,0,1,0.3039197968541174,9.222667726856479,113.4,0
15,0,1,0,1.4767350921669102,25.55295677607583,113.4,0
16,1,0,1,0.017389551289330278,2.3003477997902846,113.4,0
17,1,0,1,0.20628263479798822,11.033929490439933,113.4,0
18,1,0,1,1.063697822402562,1.4413882197381842,113.4,0
19,1,0,1,0.8902319745130971,17.163787460814117,113.4,0
20,1,0,1,0.5704180002556284,9.148420628720565,113.4,0
21,1,0,1,0.7132624728614975,18.24838623002045,113.4,0
22,0,0,1,1.1462474870307313,19.907275052100925,113.4,0
23,1,0,1,0.7734939638391398,2.3760471375795578,113.4,0
24,0,0,1,0.900007254033106,18.17876783503216,113.4,0
25,1,0,1,0.0,1.2600000000000051,113.4,0
26,0,0,1,1.5332603174788975,18.65313914599899,113.4,0
27,1,0,1,0.0,1.2600000000000051,113.4,0
28,0,0,1,1.0544953310467167,20.05401705394707,113.4,0
29,1,0,1,0.35563588430076654,0.7467261881037799,113.4,0
30,1,0,1,0.8347876230912644,14.895690651997308,113.4,0
31,0,0,1,0.881672814727629,9.121491106173377,113.4,0
32,1,0,1,0.2914567944778785,0.20880613017821098,113.4,0
33,0,0,1,0.09214339632583951,15.867312311793698,113.4,0
34,1,0,1,0.15176515532770612,1.719767426136453,113.4,0
35,0,0,1,0.0891746347388903,8.533908834760306,113.4,0
36,1,0,1,1.216090674783957,0.5758472019555178,113.4,0
37,0,1,0,0.90469933742568,26.37873385892507,113.4,0
38,1,0,1,0.5155490074589735,0.6896375859826661,113.4,0
39,1,0,1,0.0,1.2600000000000051,113.4,0
40,0,0,1,1.3982504706962895,16.89081407155972,113.4,0
41,0,0,1,0.6247159575221835,4.684826570962897,113.4,0
42,0,0,1,1.5142954412308458,8.85412898031195,113.4,0
43,0,0,1,1.2618655828711536,0.9867117106835188,113.4,0
44,1,0,1,1.0789871508061988,0.6352952069707459,113.4,0
45,0,0,1,1.3511822016182964,2.2951252689123476,113.4,0
46,1,0,1,0.0,0.4399999999999977,113.4,0
47,1,0,1,1.3334220798217242,1.2757742747053602,113.4,0
48,1,0,1,0.0,1.2600000000000051,113.4,0
49,0,1,0,1.2016727433444072,25.776182805062508,113.4,0
50,0,0,1,0.30534276055784537,13.106242787313228,113.4,0
51,1,0,1,0.7044940642422141,0.524976189936264,113.4,0
52,0,0,1,0.5536813222069974,3.8796391584785304,113.4,1
53,0,0,1,1.4263794093327014,14.591901863705084,118.8,0
54,0,1,0,0.6996622804029102,24.44253669323215,118.8,0
55,1,0,1,1.1760052070951366,1.0400000000000003,118.8,0
56,1,0,1,1.3177206746302945,1.1981652640600164,118.8,0
57,1,0,1,1.5206232620243731,13.957564257419701,118.8,0
58,1,0,1,0.6919213822388609,1.8181309083781632,118.8,0
59,1,0,1,1.5640121703609746,14.740339209122697,118.8,0
60,1,0,1,1.5598318539170788,18.24109645827246,118.8,0
61,0,0,1,1.0506805494640001,17.908143399023807,118.8,0
62,1,0,1,0.6327488350021866,1.1160645142642975,118.8,0
63,1,0,1,0.0,0.2600000000000051,118.8,0
64,0,0,1,1.4472058580930638,6.489499210262681,113.4,0
65,0,0,1,0.13255153229667346,9.382302489261365,113.4,0
66,0,0,1,1.432498536792152,9.430037115515502,113.4,0
67,1,0,1,1.5610310122179922,10.24048826960902,113.4,0
68,1,0,1,1.5157050705594488,5.448265779126416,113.4,0
69,1,0,1,0.498567905638218,4.098975481751509,113.4,0
70,0,1,0,0.6447075627396851,26.524019303265483,113.4,0
71,0,0,1,1.2516665076936748,16.892945273101432,113.4,0
72,1,0,1,1.0636978224025588,2.6768638366566173,113.4,0
73,0,0,1,0.5866439087314678,16.330388850238684,113.4,0
74,0,0,1,0.9571101490357153,8.855935862459711,113.4,0
75,1,0,1,0.17809293823119726,3.0482125910113287,113.4,0
76,0,0,1,0.0,1.2600000000000051,113.4,1
77,1,0,1,0.6120407151436262,18.693250118692575,113.4,0
78,1,0,1,1.3061064712569639,17.965678389640615,113.4,0
79,1,0,1,0.9978301839061882,1.4756693396557334,113.4,0
80,0,0,1,1.0568766457963614,1.4239382009062003,113.4,0
81,1,0,1,1.2714300927375441,3.3908111124036333,113.4,0
82,1,0,1,1.0916860327345044,1.7353962083628045,113.4,0
83,1,1,0,0.06461580389798313,23.84977148737488,113.4,0
84,0,0,1,0.6997935253921315,16.20967612261269,113.4,0
85,1,0,1,0.4574748478960253,1.4489996549343975,113.4,0
